"nums","errors"
50,0.186748639854258
53,0.181736710298651
56,0.17721367752807
59,0.174270678277962
62,0.174676606231854
65,0.175090988780773
68,0.167669036962306
71,0.165561818045992
74,0.166247029188305
77,0.164822571723978
80,0.163783145214926
83,0.161581514751054
86,0.160560317047495
89,0.15335386679284
92,0.158523270205936
95,0.149977083332003
98,0.145171639791997
101,0.142407619403429
104,0.139385155589866
107,0.13692657312593
110,0.136765446832653
113,0.139170614742253
116,0.137317966490458
119,0.1369766972762
122,0.137122027625952
125,0.134279719899047
128,0.129586057120511
131,0.126999772360531
134,0.125401828862457
137,0.128111070055403
140,0.126901803570659
143,0.128552493857891
146,0.128185781281779
149,0.124883271949171
152,0.126117986937016
155,0.125518495512712
158,0.126946651533209
161,0.124481202131655
164,0.124628074662558
167,0.122257049115833
170,0.121657196436304
173,0.121311235241584
176,0.118988708895027
179,0.11880172436441
182,0.114634599737679
185,0.114378759008553
188,0.113236583541251
191,0.114228116829296
194,0.114934418312031
197,0.115122617813772
200,0.11543007202277
203,0.116027876618974
206,0.112781060981652
209,0.113130755805395
212,0.112610624044871
215,0.113313398826013
218,0.109653107272418
221,0.106545782995073
224,0.1046397435497
227,0.104673063215871
230,0.105768506538338
233,0.107326134712143
236,0.106633438204033
239,0.104290121494213
242,0.105602233681548
245,0.102800030645326
248,0.0982745495182779
251,0.0981972273181592
254,0.0988095081725903
257,0.09788581093993
260,0.0964589930907285
263,0.0943681637666838
266,0.0938462509384531
269,0.0935058140257517
272,0.0932401506509438
275,0.091804759440969
278,0.0889127227338382
281,0.0877069713986746
284,0.0885456151364376
287,0.0879925395719513
290,0.0889635477740604
293,0.0877096078275065
296,0.0848409593518245
299,0.084660199502796
302,0.0851582039402069
305,0.0861427785575567
308,0.0819491332081774
311,0.0841276088906974
314,0.0838974459257709
317,0.0849011954423673
320,0.0842080644278371
